i	Energy (cm-1)	gi	J	Uncertainty (cm-1)	Total_Parity	e/f	State	v	Λ	Σ	Ω	Label	Calc
1	0.00000000	2	0	0.00000000	+	e	X1Sigma+	0	0	0	0	Ma	0.00000000
2	27.85718651	6	1	0.00000067	-	e	X1Sigma+	0	0	0	0	Ma	27.85718800
3	83.53841920	10	2	0.01240067	+	e	X1Sigma+	0	0	0	0	Ma	83.53844100
4	166.97757971	14	3	0.05420067	-	e	X1Sigma+	0	0	0	0	Ma	166.97759800
5	278.07761129	18	4	0.08040067	+	e	X1Sigma+	0	0	0	0	Ma	278.07562100
6	416.69943550	22	5	0.12210067	-	e	X1Sigma+	0	0	0	0	Ma	416.70084000
7	582.68629284	26	6	0.14820067	+	e	X1Sigma+	0	0	0	0	Ma	582.68927100
8	775.84079330	30	7	0.16650067	-	e	X1Sigma+	0	0	0	0	Ma	775.84501800
9	995.93800083	34	8	0.18440067	+	e	X1Sigma+	0	0	0	0	Ma	995.94074500
10	1242.71258551	38	9	0.14760067	-	e	X1Sigma+	0	0	0	0	Ma	1242.71821800
11	1515.86717703	42	10	0.17790067	+	e	X1Sigma+	0	0	0	0	Ma	1515.88891500
12	1815.13969492	46	11	0.29760067	-	e	X1Sigma+	0	0	0	0	Ma	1815.13469900
13	2140.10118354	50	12	0.36490067	+	e	X1Sigma+	0	0	0	0	Ma	2140.10855500
14	2490.37060804	54	13	0.35910067	-	e	X1Sigma+	0	0	0	0	Ma	2490.43537200
15	2739.67013447	2	0	0.03390067	+	e	X1Sigma+	1	0	0	0	Ma	2739.66179500
16	2766.54822600	6	1	0.03460000	-	e	X1Sigma+	1	0	0	0	Ma	2766.53965200
17	2820.27191148	10	2	0.03490067	+	e	X1Sigma+	1	0	0	0	Ma	2820.26284200
18	2865.61768288	58	14	0.42640067	+	e	X1Sigma+	0	0	0	0	Ma	2865.71278100
19	2900.77614482	14	3	0.04760067	-	e	X1Sigma+	1	0	0	0	Ma	2900.76638900
20	3007.95266072	18	4	0.08970067	+	e	X1Sigma+	1	0	0	0	Ma	3007.95303100
21	3141.69107261	22	5	0.11620067	-	e	X1Sigma+	1	0	0	0	Ma	3141.69344600
22	3264.93517548	62	15	0.38210067	-	e	X1Sigma+	0	0	0	0	Ma	3265.51203500
23	3301.82357045	26	6	0.13490067	+	e	X1Sigma+	1	0	0	0	Ma	3301.82656700
24	3488.16097004	30	7	0.16760067	-	e	X1Sigma+	1	0	0	0	Ma	3488.15996200
25	3688.66912076	66	16	0.62640067	+	e	X1Sigma+	0	0	0	0	Ma	3689.37893100
26	3700.46720221	34	8	0.15490067	+	e	X1Sigma+	1	0	0	0	Ma	3700.47028600
27	3938.49845494	38	9	0.14760067	-	e	X1Sigma+	1	0	0	0	Ma	3938.50380800
28	4136.83475900	70	17	3.06000000	-	e	X1Sigma+	0	0	0	0	Ca	4136.83475900
29	4201.97721998	42	10	0.21490067	+	e	X1Sigma+	1	0	0	0	Ma	4201.97699200
30	4490.58652818	46	11	0.20910067	-	e	X1Sigma+	1	0	0	0	Ma	4490.57714800
31	4607.37728300	74	18	3.42000000	+	e	X1Sigma+	0	0	0	0	Ca	4607.37728300
32	4803.95985174	50	12	0.27640067	+	e	X1Sigma+	1	0	0	0	Ma	4803.96313200
33	5100.48174300	78	19	3.80000000	-	e	X1Sigma+	0	0	0	0	Ca	5100.48174300
34	5141.70014727	54	13	0.27060067	-	e	X1Sigma+	1	0	0	0	Ma	5141.76610500
35	5362.71795421	2	0	0.05490067	+	e	X1Sigma+	2	0	0	0	Ma	5362.71198500
36	5388.62380902	6	1	0.09460000	-	e	X1Sigma+	2	0	0	0	Ma	5388.62035800
37	5440.40610080	10	2	0.05490067	+	e	X1Sigma+	2	0	0	0	Ma	5440.40513200
38	5503.46162077	58	14	0.53640067	+	e	X1Sigma+	1	0	0	0	Ma	5503.59033000
39	5518.00295673	14	3	0.09460000	-	e	X1Sigma+	2	0	0	0	Ma	5518.00243600
