v_J	Correction_scaled(cm-1)
8_25	14.00968879
8_26	15.13046389
8_27	16.29434573
8_28	17.5013343
8_29	18.75142961
8_30	20.04463165
8_31	21.38094043
8_32	22.76035594
8_33	24.18287818
8_34	25.64850716
8_35	27.15724288
8_36	28.70908533
9_0	0
9_1	0.036668096
9_2	0.110004287
9_3	0.220008573
9_4	0.366680955
9_5	0.550021433
9_6	0.770030006
9_7	1.026706674
9_8	1.320051438
9_9	1.650064298
9_10	2.016745253
9_11	2.420094303
9_12	2.860111449
9_13	3.336796691
9_14	3.850150028
9_15	4.40017146
9_16	4.986860988
9_17	5.610218612
9_18	6.270244331
9_19	6.966938145
9_20	7.700300055
9_21	8.470330061
9_22	9.277028162
9_23	10.12039436
9_24	11.00042865
9_25	11.91713104
9_26	12.87050152
9_27	13.8605401
9_28	14.88724677
9_29	15.95062154
9_30	17.05066441
9_31	18.18737537
9_32	19.36075443
9_33	20.57080158
9_34	21.81751682
9_35	23.10090017
9_36	24.4209516
10_0	0
10_1	0.028375702
10_2	0.085127105
10_3	0.170254211
10_4	0.283757018
10_5	0.425635527
10_6	0.595889738
10_7	0.79451965
10_8	1.021525264
10_9	1.27690658
10_10	1.560663598
10_11	1.872796318
10_12	2.213304739
10_13	2.582188863
10_14	2.979448688
10_15	3.405084215
10_16	3.859095443
10_17	4.341482374
10_18	4.852245006
10_19	5.39138334
10_20	5.958897376
10_21	6.554787113
10_22	7.179052552
10_23	7.831693694
10_24	8.512710536
10_25	9.222103081
10_26	9.959871328
10_27	10.72601528
10_28	11.52053493
10_29	12.34343028
10_30	13.19470133
10_31	14.07434809
10_32	14.98237054
10_33	15.9187687
10_34	16.88354256
10_35	17.87669213
10_36	18.89821739
11_0	0
11_1	0.018804424
11_2	0.056413273
11_3	0.112826545
11_4	0.188044242
11_5	0.282066364
11_6	0.394892909
11_7	0.526523879
11_8	0.676959272
11_9	0.846199091
11_10	1.034243333
11_11	1.241092
11_12	1.46674509
11_13	1.711202605
11_14	1.974464545
11_15	2.256530908
11_16	2.557401696
11_17	2.877076908
11_18	3.215556544
11_19	3.572840605
11_20	3.94892909
11_21	4.343821999
11_22	4.757519332
11_23	5.190021089
11_24	5.641327271
11_25	6.111437877
11_26	6.600352907
11_27	7.108072361
11_28	7.63459624
11_29	8.179924543
11_30	8.74405727
11_31	9.326994421
11_32	9.928735997
11_33	10.549282
11_34	11.18863242
11_35	11.84678727
11_36	12.52374654
12_0	0
12_1	0.009600253
12_2	0.028800758
12_3	0.057601515
12_4	0.096002526
12_5	0.144003789
12_6	0.201605304
12_7	0.268807072
12_8	0.345609093
12_9	0.432011366
12_10	0.528013892
12_11	0.63361667
12_12	0.748819701
12_13	0.873622985
12_14	1.008026521
12_15	1.15203031
12_16	1.305634351
12_17	1.468838645
12_18	1.641643191
12_19	1.82404799
12_20	2.016053042
12_21	2.217658346
12_22	2.428863903
12_23	2.649669712
12_24	2.880075774
12_25	3.120082089
12_26	3.369688656
12_27	3.628895475
12_28	3.897702548
12_29	4.176109872
12_30	4.46411745
12_31	4.76172528
12_32	5.068933362
12_33	5.385741698
12_34	5.712150285
12_35	6.048159126
12_36	6.393768219
13_0	0
13_1	0.003408771
13_2	0.010226314
13_3	0.020452628
13_4	0.034087713
13_5	0.051131569
13_6	0.071584197
13_7	0.095445596
13_8	0.122715766
13_9	0.153394708
13_10	0.18748242
13_11	0.224978905
13_12	0.26588416
13_13	0.310198187
13_14	0.357920985
13_15	0.409052554
13_16	0.463592894
13_17	0.521542006
13_18	0.582899889
13_19	0.647666544
13_20	0.715841969
13_21	0.787426166
13_22	0.862419134
13_23	0.940820874
13_24	1.022631385
13_25	1.107850667
13_26	1.19647872
13_27	1.288515545
13_28	1.38396114
13_29	1.482815508
13_30	1.585078646
13_31	1.690750556
13_32	1.799831237
13_33	1.912320689
13_34	2.028218913
13_35	2.147525908
13_36	2.270241674
14_0	0
14_1	0.000643236
14_2	0.001929708
14_3	0.003859416
14_4	0.00643236
14_5	0.00964854
14_6	0.013507956
14_7	0.018010607
14_8	0.023156495
14_9	0.028945619
14_10	0.035377979
14_11	0.042453575
14_12	0.050172406
14_13	0.058534474
14_14	0.067539778
14_15	0.077188318
14_16	0.087480093
14_17	0.098415105
14_18	0.109993352
14_19	0.122214836
14_20	0.135079556
14_21	0.148587511
14_22	0.162738703
14_23	0.17753313
14_24	0.192970794
14_25	0.209051693
14_26	0.225775829
14_27	0.2431432
14_28	0.261153808
14_29	0.279807651
14_30	0.29910473
14_31	0.319045046
14_32	0.339628597
14_33	0.360855384
14_34	0.382725408
14_35	0.405238667
14_36	0.428395162
