i	Energy (cm-1)	gi	J	Uncertainty (cm-1)	Total_Parity	e/f	State	v	Λ	Σ	Ω	Label	Calc
1066	32302.970125	114	28	8.220000	+	e	A1Pi	1	1	0	1	Ca	32302.970125
1067	32305.127023	38	9	1.700000	+	f	A1Pi	8	1	0	1	Ca	32305.127023
1068	32307.066826	38	9	1.700000	-	e	A1Pi	8	1	0	1	Ca	32307.066826
1069	32318.697738	202	50	25.650000	+	e	X1Sigma+	3	0	0	0	Ca	32318.697738
1070	32329.023588	90	22	5.460000	-	f	A1Pi	4	1	0	1	Ca	32329.023588
1071	32342.610342	90	22	5.460000	+	e	A1Pi	4	1	0	1	Ca	32342.610342
1072	32347.444228	6	1	0.920000	+	f	A1Pi	9	1	0	1	Ca	32347.444228
1073	32347.480896	6	1	0.920000	-	e	A1Pi	9	1	0	1	Ca	32347.480896
1074	32362.765138	10	2	0.960000	-	f	A1Pi	9	1	0	1	Ca	32362.765138
1075	32362.875142	10	2	0.960000	+	e	A1Pi	9	1	0	1	Ca	32362.875142
1076	32366.169597	70	17	3.660000	+	f	A1Pi	6	1	0	1	Ca	32366.169597
1077	32367.110690	62	15	3.250000	-	e	X1Sigma+	17	0	0	0	Ca	32367.110690
1078	32368.483826	122	30	9.300000	-	f	A1Pi	0	1	0	1	Ca	32368.483826
1079	32371.260419	42	10	2.000000	+	e	X1Sigma+	18	0	0	0	Ca	32371.260419
1080	32372.975056	154	38	15.270000	+	e	X1Sigma+	9	0	0	0	Ca	32372.975056
1081	32373.899587	70	17	3.660000	-	e	A1Pi	6	1	0	1	Ca	32373.899587
1082	32378.167751	78	19	4.600000	-	e	X1Sigma+	16	0	0	0	Ca	32378.167751
1083	32385.585666	14	3	1.020000	+	f	A1Pi	9	1	0	1	Ca	32385.585666
1084	32385.805675	14	3	1.020000	-	e	A1Pi	9	1	0	1	Ca	32385.805675
1085	32388.265398	42	10	1.900000	-	f	A1Pi	8	1	0	1	Ca	32388.265398
1086	32390.636268	42	10	1.900000	+	e	A1Pi	8	1	0	1	Ca	32390.636268
1087	32390.879266	58	14	2.800000	-	f	A1Pi	7	1	0	1	Ca	32390.879266
1088	32395.882967	58	14	2.800000	+	e	A1Pi	7	1	0	1	Ca	32395.882967
1089	32403.625350	122	30	9.300000	+	e	A1Pi	0	1	0	1	Ca	32403.625350
1090	32415.709986	18	4	1.100000	-	f	A1Pi	9	1	0	1	Ca	32415.709986
1091	32416.076667	18	4	1.100000	+	e	A1Pi	9	1	0	1	Ca	32416.076667
1092	32419.126697	2	0	0.950000	+	e	X1Sigma+	19	0	0	0	Ca	32419.126697
1093	32421.546082	126	31	10.520000	-	e	X1Sigma+	12	0	0	0	Ca	32421.546082
1094	32422.621580	82	20	4.700000	-	f	A1Pi	5	1	0	1	Ca	32422.621580
1095	32425.845016	6	1	0.970000	-	e	X1Sigma+	19	0	0	0	Ca	32425.845016
1096	32433.581703	82	20	4.700000	+	e	A1Pi	5	1	0	1	Ca	32433.581703
1097	32439.217343	10	2	1.010000	+	e	X1Sigma+	19	0	0	0	Ca	32439.217343
1098	32452.872013	22	5	1.200000	+	f	A1Pi	9	1	0	1	Ca	32452.872013
1099	32453.422034	22	5	1.200000	-	e	A1Pi	9	1	0	1	Ca	32453.422034
1100	32454.029784	46	11	2.220000	-	e	X1Sigma+	18	0	0	0	Ca	32454.029784
1101	32458.961699	210	52	27.660000	+	e	X1Sigma+	2	0	0	0	Ca	32458.961699
1102	32459.114066	14	3	1.070000	-	e	X1Sigma+	19	0	0	0	Ca	32459.114066
1103	32477.250479	46	11	2.120000	+	f	A1Pi	8	1	0	1	Ca	32477.250479
1104	32480.095523	46	11	2.120000	-	e	A1Pi	8	1	0	1	Ca	32480.095523
1105	32485.338222	18	4	1.150000	+	e	X1Sigma+	19	0	0	0	Ca	32485.338222
1106	32493.391943	146	36	13.820000	+	e	X1Sigma+	10	0	0	0	Ca	32493.391943
1107	32496.730527	26	6	1.320000	-	f	A1Pi	9	1	0	1	Ca	32496.730527
1108	32497.500557	26	6	1.320000	+	e	A1Pi	9	1	0	1	Ca	32497.500557
1109	32498.902255	66	16	3.570000	+	e	X1Sigma+	17	0	0	0	Ca	32498.902255
1110	32515.878927	94	23	6.270000	-	e	X1Sigma+	15	0	0	0	Ca	32515.878927
1111	32517.622208	22	5	1.250000	-	e	X1Sigma+	19	0	0	0	Ca	32517.622208
1112	32521.382406	62	15	3.100000	+	f	A1Pi	7	1	0	1	Ca	32521.382406
1113	32527.100922	62	15	3.100000	-	e	A1Pi	7	1	0	1	Ca	32527.100922
1114	32530.557976	106	26	7.720000	+	e	X1Sigma+	14	0	0	0	Ca	32530.557976
1115	32535.258679	74	18	4.020000	-	f	A1Pi	6	1	0	1	Ca	32535.258679
1116	32541.409715	50	12	2.460000	+	e	X1Sigma+	18	0	0	0	Ca	32541.409715
1117	32543.898079	74	18	4.020000	+	e	A1Pi	6	1	0	1	Ca	32543.898079
1118	32546.862194	30	7	1.460000	+	f	A1Pi	9	1	0	1	Ca	32546.862194
1119	32547.888901	30	7	1.460000	-	e	A1Pi	9	1	0	1	Ca	32547.888901
1120	32555.599565	102	25	6.800000	+	f	A1Pi	3	1	0	1	Ca	32555.599565
1121	32555.622965	26	6	1.370000	+	e	X1Sigma+	19	0	0	0	Ca	32555.622965
1122	32556.084157	82	20	5.000000	+	e	X1Sigma+	16	0	0	0	Ca	32556.084157
1123	32571.264366	50	12	2.360000	-	f	A1Pi	8	1	0	1	Ca	32571.264366
1124	32574.085603	102	25	6.800000	-	e	A1Pi	3	1	0	1	Ca	32574.085603
1125	32574.626691	50	12	2.360000	+	e	A1Pi	8	1	0	1	Ca	32574.626691
1126	32576.981021	94	23	5.920000	+	f	A1Pi	4	1	0	1	Ca	32576.981021
1127	32578.784043	110	27	7.760000	+	f	A1Pi	2	1	0	1	Ca	32578.784043
1128	32591.802935	94	23	5.920000	-	e	A1Pi	4	1	0	1	Ca	32591.802935
