i	Energy (cm-1)	gi	J	Uncertainty (cm-1)	Total_Parity	e/f	State	v	Λ	Σ	Ω	Label	Calc
1286	32995.672153	22	5	1.500000	-	e	A1Pi	12	1	0	1	Ca	32995.672153
1287	33003.179245	6	1	1.320000	+	f	A1Pi	13	1	0	1	Ca	33003.179245
1288	33003.182654	6	1	1.320000	-	e	A1Pi	13	1	0	1	Ca	33003.182654
1289	33005.513357	10	2	1.360000	-	f	A1Pi	13	1	0	1	Ca	33005.513357
1290	33005.523583	10	2	1.360000	+	e	A1Pi	13	1	0	1	Ca	33005.523583
1291	33006.564070	26	6	1.620000	-	f	A1Pi	12	1	0	1	Ca	33006.564070
1292	33006.765675	26	6	1.620000	+	e	A1Pi	12	1	0	1	Ca	33006.765675
1293	33007.714901	70	17	3.960000	-	e	X1Sigma+	18	0	0	0	Ca	33007.714901
1294	33008.731673	14	3	1.420000	+	f	A1Pi	13	1	0	1	Ca	33008.731673
1295	33008.752126	14	3	1.420000	-	e	A1Pi	13	1	0	1	Ca	33008.752126
1296	33012.128222	38	9	2.000000	+	f	A1Pi	11	1	0	1	Ca	33012.128222
1297	33012.436123	18	4	1.500000	-	f	A1Pi	13	1	0	1	Ca	33012.436123
1298	33012.470211	18	4	1.500000	+	e	A1Pi	13	1	0	1	Ca	33012.470211
1299	33012.546883	58	14	3.000000	-	f	A1Pi	9	1	0	1	Ca	33012.546883
1300	33012.974421	38	9	2.000000	-	e	A1Pi	11	1	0	1	Ca	33012.974421
1301	33013.320422	6	1	1.420000	+	f	A1Pi	14	1	0	1	Ca	33013.320422
1302	33013.321065	6	1	1.420000	-	e	A1Pi	14	1	0	1	Ca	33013.321065
1303	33014.001082	10	2	1.460000	-	f	A1Pi	14	1	0	1	Ca	33014.001082
1304	33014.003012	10	2	1.460000	+	e	A1Pi	14	1	0	1	Ca	33014.003012
1305	33015.818967	22	5	1.600000	+	f	A1Pi	13	1	0	1	Ca	33015.818967
1306	33015.870099	22	5	1.600000	-	e	A1Pi	13	1	0	1	Ca	33015.870099
1307	33016.397033	58	14	3.000000	+	e	A1Pi	9	1	0	1	Ca	33016.397033
1308	33017.084819	30	7	1.760000	+	f	A1Pi	12	1	0	1	Ca	33017.084819
1309	33017.353626	30	7	1.760000	-	e	A1Pi	12	1	0	1	Ca	33017.353626
1310	33029.069818	142	35	13.150000	-	e	X1Sigma+	11	0	0	0	Ca	33029.069818
1311	33032.802871	50	12	2.560000	-	f	A1Pi	10	1	0	1	Ca	33032.802871
1312	33033.776192	42	10	2.200000	-	f	A1Pi	11	1	0	1	Ca	33033.776192
1313	33034.810435	42	10	2.200000	+	e	A1Pi	11	1	0	1	Ca	33034.810435
1314	33034.927092	82	20	5.050000	+	e	X1Sigma+	17	0	0	0	Ca	33034.927092
1315	33035.016176	50	12	2.560000	+	e	A1Pi	10	1	0	1	Ca	33035.016176
1316	33037.220340	122	30	9.400000	-	f	A1Pi	1	1	0	1	Ca	33037.220340
1317	33037.605668	206	51	26.670000	-	e	X1Sigma+	3	0	0	0	Ca	33037.605668
1318	33039.458112	62	15	3.350000	-	e	X1Sigma+	19	0	0	0	Ca	33039.458112
1319	33045.612174	94	23	6.020000	+	f	A1Pi	5	1	0	1	Ca	33045.612174
1320	33046.276969	86	21	5.220000	+	f	A1Pi	6	1	0	1	Ca	33046.276969
1321	33057.947738	86	21	5.220000	-	e	A1Pi	6	1	0	1	Ca	33057.947738
1322	33059.190669	78	19	4.500000	+	f	A1Pi	7	1	0	1	Ca	33059.190669
1323	33060.016907	94	23	6.020000	-	e	A1Pi	5	1	0	1	Ca	33060.016907
1324	33062.052004	114	28	8.820000	+	e	X1Sigma+	14	0	0	0	Ca	33062.052004
1325	33068.244985	78	19	4.500000	-	e	A1Pi	7	1	0	1	Ca	33068.244985
1326	33068.772904	102	25	6.900000	+	f	A1Pi	4	1	0	1	Ca	33068.772904
1327	33069.516001	122	30	9.400000	+	e	A1Pi	1	1	0	1	Ca	33069.516001
1328	33070.476340	54	13	2.820000	+	f	A1Pi	10	1	0	1	Ca	33070.476340
1329	33073.058529	54	13	2.820000	-	e	A1Pi	10	1	0	1	Ca	33073.058529
1330	33073.397207	70	17	3.860000	+	f	A1Pi	8	1	0	1	Ca	33073.397207
1331	33079.311944	62	15	3.300000	+	f	A1Pi	9	1	0	1	Ca	33079.311944
1332	33079.992537	70	17	3.860000	-	e	A1Pi	8	1	0	1	Ca	33079.992537
1333	33083.712115	62	15	3.300000	-	e	A1Pi	9	1	0	1	Ca	33083.712115
1334	33085.493313	94	23	6.320000	-	e	X1Sigma+	16	0	0	0	Ca	33085.493313
1335	33086.226245	102	25	6.900000	-	e	A1Pi	4	1	0	1	Ca	33086.226245
1336	33092.973476	74	18	4.320000	+	e	X1Sigma+	18	0	0	0	Ca	33092.973476
1337	33127.743107	110	27	7.860000	+	f	A1Pi	3	1	0	1	Ca	33127.743107
1338	33130.945563	134	33	11.820000	-	e	X1Sigma+	12	0	0	0	Ca	33130.945563
1339	33135.724901	66	16	3.620000	-	f	A1Pi	9	1	0	1	Ca	33135.724901
1340	33140.711762	66	16	3.620000	+	e	A1Pi	9	1	0	1	Ca	33140.711762
1341	33149.243792	110	27	7.860000	-	e	A1Pi	3	1	0	1	Ca	33149.243792
1342	33159.603994	86	21	5.470000	-	e	X1Sigma+	17	0	0	0	Ca	33159.603994
1343	33163.834314	74	18	4.220000	-	f	A1Pi	8	1	0	1	Ca	33163.834314
1344	33166.104573	78	19	4.700000	-	e	X1Sigma+	18	0	0	0	Ca	33166.104573
1345	33171.205566	74	18	4.220000	+	e	A1Pi	8	1	0	1	Ca	33171.205566
1346	33175.758313	106	26	7.770000	+	e	X1Sigma+	15	0	0	0	Ca	33175.758313
1347	33185.675246	82	20	4.900000	-	f	A1Pi	7	1	0	1	Ca	33185.675246
1348	33195.682648	82	20	4.900000	+	e	A1Pi	7	1	0	1	Ca	33195.682648
1349	33209.381342	90	22	5.660000	-	f	A1Pi	6	1	0	1	Ca	33209.381342
1350	33213.612693	214	53	28.720000	-	e	X1Sigma+	2	0	0	0	Ca	33213.612693
1351	33222.163613	90	22	5.660000	+	e	A1Pi	6	1	0	1	Ca	33222.163613
1352	33231.700285	126	31	10.570000	-	e	X1Sigma+	13	0	0	0	Ca	33231.700285
1353	33235.316484	118	29	8.900000	+	f	A1Pi	2	1	0	1	Ca	33235.316484
1354	33242.532419	130	32	10.560000	-	f	A1Pi	0	1	0	1	Ca	33242.532419
1355	33246.051462	98	24	6.500000	-	f	A1Pi	5	1	0	1	Ca	33246.051462
1356	33251.418512	98	24	6.800000	+	e	X1Sigma+	16	0	0	0	Ca	33251.418512
1357	33261.708780	98	24	6.500000	+	e	A1Pi	5	1	0	1	Ca	33261.708780
1358	33262.664131	118	29	8.900000	-	e	A1Pi	2	1	0	1	Ca	33262.664131
1359	33269.998273	90	22	5.910000	+	e	X1Sigma+	17	0	0	0	Ca	33269.998273
1360	33282.435053	130	32	10.560000	+	e	A1Pi	0	1	0	1	Ca	33282.435053
1361	33297.114230	86	21	5.320000	+	f	A1Pi	7	1	0	1	Ca	33297.114230
1362	33307.145166	106	26	7.420000	-	f	A1Pi	4	1	0	1	Ca	33307.145166
1363	33308.122372	86	21	5.320000	-	e	A1Pi	7	1	0	1	Ca	33308.122372
1364	33320.246824	118	29	9.400000	-	e	X1Sigma+	14	0	0	0	Ca	33320.246824
1365	33324.965445	170	42	18.460000	+	e	X1Sigma+	8	0	0	0	Ca	33324.965445
1366	33325.994774	106	26	7.420000	+	e	A1Pi	4	1	0	1	Ca	33325.994774
1367	33338.405567	162	40	16.850000	+	e	X1Sigma+	9	0	0	0	Ca	33338.405567
1368	33338.499798	178	44	20.150000	+	e	X1Sigma+	7	0	0	0	Ca	33338.499798
1369	33360.058410	94	23	6.120000	+	f	A1Pi	6	1	0	1	Ca	33360.058410
1370	33373.101745	154	38	15.320000	+	e	X1Sigma+	10	0	0	0	Ca	33373.101745
1371	33374.002705	94	23	6.120000	-	e	A1Pi	6	1	0	1	Ca	33374.002705
1372	33383.165552	110	27	8.310000	-	e	X1Sigma+	15	0	0	0	Ca	33383.165552
1373	33383.913208	186	46	21.920000	+	e	X1Sigma+	6	0	0	0	Ca	33383.913208
1374	33402.356993	102	25	7.300000	-	e	X1Sigma+	16	0	0	0	Ca	33402.356993
1375	33404.617388	114	28	8.420000	-	f	A1Pi	3	1	0	1	Ca	33404.617388
1376	33406.337058	126	31	10.020000	+	f	A1Pi	1	1	0	1	Ca	33406.337058
1377	33422.318124	146	36	13.870000	+	e	X1Sigma+	11	0	0	0	Ca	33422.318124
1378	33427.710716	114	28	8.420000	+	e	A1Pi	3	1	0	1	Ca	33427.710716
1379	33435.349015	102	25	7.000000	+	f	A1Pi	5	1	0	1	Ca	33435.349015
1380	33440.023471	222	55	30.850000	-	e	X1Sigma+	1	0	0	0	Ca	33440.023471
1381	33440.785763	126	31	10.020000	-	e	A1Pi	1	1	0	1	Ca	33440.785763
1382	33452.311110	102	25	7.000000	-	e	A1Pi	5	1	0	1	Ca	33452.311110
1383	33465.461968	194	48	23.770000	+	e	X1Sigma+	5	0	0	0	Ca	33465.461968
1384	33478.041549	138	34	12.500000	+	e	X1Sigma+	12	0	0	0	Ca	33478.041549
1385	33530.627759	130	32	11.210000	+	e	X1Sigma+	13	0	0	0	Ca	33530.627759
1386	33534.431614	110	27	7.960000	+	f	A1Pi	4	1	0	1	Ca	33534.431614
1387	33551.376311	122	30	9.500000	-	f	A1Pi	2	1	0	1	Ca	33551.376311
1388	33554.731192	110	27	7.960000	-	e	A1Pi	4	1	0	1	Ca	33554.731192
1389	33568.197260	122	30	10.000000	+	e	X1Sigma+	14	0	0	0	Ca	33568.197260
1390	33574.427486	114	28	8.870000	+	e	X1Sigma+	15	0	0	0	Ca	33574.427486
1391	33580.610002	122	30	9.500000	+	e	A1Pi	2	1	0	1	Ca	33580.610002
1392	33586.895369	202	50	25.700000	+	e	X1Sigma+	4	0	0	0	Ca	33586.895369
1393	33601.365824	106	26	7.520000	-	f	A1Pi	5	1	0	1	Ca	33601.365824
1394	33619.684887	106	26	7.520000	+	e	A1Pi	5	1	0	1	Ca	33619.684887
1395	33660.905132	134	33	11.220000	+	f	A1Pi	0	1	0	1	Ca	33660.905132
1396	33669.464601	118	29	9.000000	+	f	A1Pi	3	1	0	1	Ca	33669.464601
1397	33694.207452	118	29	9.000000	-	e	A1Pi	3	1	0	1	Ca	33694.207452
1398	33703.301681	134	33	11.220000	-	e	A1Pi	0	1	0	1	Ca	33703.301681
1399	33719.934993	230	57	33.060000	-	e	X1Sigma+	0	0	0	0	Ca	33719.934993
1400	33739.015954	114	28	8.520000	-	f	A1Pi	4	1	0	1	Ca	33739.015954
1401	33739.168650	118	29	9.450000	-	e	X1Sigma+	15	0	0	0	Ca	33739.168650
1402	33751.586304	210	52	27.710000	+	e	X1Sigma+	3	0	0	0	Ca	33751.586304
1403	33760.819204	114	28	8.520000	+	e	A1Pi	4	1	0	1	Ca	33760.819204
1404	33762.642604	130	32	10.660000	-	f	A1Pi	1	1	0	1	Ca	33762.642604
1405	33797.867827	126	31	10.620000	-	e	X1Sigma+	14	0	0	0	Ca	33797.867827
1406	33799.313806	130	32	10.660000	+	e	A1Pi	1	1	0	1	Ca	33799.313806
1407	33804.152678	158	39	16.100000	-	e	X1Sigma+	10	0	0	0	Ca	33804.152678
1408	33807.765715	150	37	14.610000	-	e	X1Sigma+	11	0	0	0	Ca	33807.765715
1409	33813.231235	166	41	17.670000	-	e	X1Sigma+	9	0	0	0	Ca	33813.231235
1410	33815.641482	142	35	13.200000	-	e	X1Sigma+	12	0	0	0	Ca	33815.641482
1411	33817.258878	134	33	11.870000	-	e	X1Sigma+	13	0	0	0	Ca	33817.258878
1412	33841.975302	174	43	19.320000	-	e	X1Sigma+	8	0	0	0	Ca	33841.975302
1413	33853.277602	126	31	10.120000	+	f	A1Pi	2	1	0	1	Ca	33853.277602
1414	33884.460206	126	31	10.120000	-	e	A1Pi	2	1	0	1	Ca	33884.460206
1415	33896.251473	182	45	21.050000	-	e	X1Sigma+	7	0	0	0	Ca	33896.251473
1416	33911.324414	122	30	9.600000	-	f	A1Pi	3	1	0	1	Ca	33911.324414
1417	33937.773669	122	30	9.600000	+	e	A1Pi	3	1	0	1	Ca	33937.773669
1418	33962.667436	218	54	29.800000	+	e	X1Sigma+	2	0	0	0	Ca	33962.667436
1419	33981.060400	190	47	22.860000	-	e	X1Sigma+	6	0	0	0	Ca	33981.060400
1420	33998.145956	130	32	11.260000	+	e	X1Sigma+	14	0	0	0	Ca	33998.145956
1421	34059.789528	138	34	11.900000	-	f	A1Pi	0	1	0	1	Ca	34059.789528
1422	34082.314000	138	34	12.550000	+	e	X1Sigma+	13	0	0	0	Ca	34082.314000
1423	34100.694162	134	33	11.320000	+	f	A1Pi	1	1	0	1	Ca	34100.694162
1424	34100.722229	198	49	24.750000	-	e	X1Sigma+	5	0	0	0	Ca	34100.722229
1425	34104.755565	138	34	11.900000	+	e	A1Pi	0	1	0	1	Ca	34104.755565
1426	34129.974515	130	32	10.760000	-	f	A1Pi	2	1	0	1	Ca	34129.974515
1427	34138.265228	146	36	13.920000	+	e	X1Sigma+	12	0	0	0	Ca	34138.265228
1428	34139.657315	134	33	11.320000	-	e	A1Pi	1	1	0	1	Ca	34139.657315
1429	34163.168900	130	32	10.760000	+	e	A1Pi	2	1	0	1	Ca	34163.168900
1430	34181.363173	154	38	15.370000	+	e	X1Sigma+	11	0	0	0	Ca	34181.363173
1431	34223.194737	226	56	31.970000	+	e	X1Sigma+	1	0	0	0	Ca	34223.194737
1432	34225.220376	162	40	16.900000	+	e	X1Sigma+	10	0	0	0	Ca	34225.220376
1433	34259.030440	206	51	26.720000	-	e	X1Sigma+	4	0	0	0	Ca	34259.030440
1434	34279.283435	170	42	18.510000	+	e	X1Sigma+	9	0	0	0	Ca	34279.283435
1435	34350.999689	178	44	20.200000	+	e	X1Sigma+	8	0	0	0	Ca	34350.999689
1436	34408.399133	138	34	12.000000	-	f	A1Pi	1	1	0	1	Ca	34408.399133
1437	34431.284828	142	35	12.600000	+	f	A1Pi	0	1	0	1	Ca	34431.284828
1438	34434.536620	150	37	14.660000	-	e	X1Sigma+	12	0	0	0	Ca	34434.536620
1439	34446.503468	186	46	21.970000	+	e	X1Sigma+	7	0	0	0	Ca	34446.503468
1440	34449.723689	138	34	12.000000	+	e	A1Pi	1	1	0	1	Ca	34449.723689
1441	34459.392173	214	53	28.770000	-	e	X1Sigma+	3	0	0	0	Ca	34459.392173
1442	34478.895926	142	35	12.600000	-	e	A1Pi	0	1	0	1	Ca	34478.895926
1443	34536.368450	234	58	34.220000	+	e	X1Sigma+	0	0	0	0	Ca	34536.368450
1444	34536.397243	158	39	16.150000	-	e	X1Sigma+	11	0	0	0	Ca	34536.397243
1445	34570.959718	194	48	23.820000	+	e	X1Sigma+	6	0	0	0	Ca	34570.959718
1446	34631.519431	166	41	17.720000	-	e	X1Sigma+	10	0	0	0	Ca	34631.519431
1447	34704.973509	222	55	30.900000	-	e	X1Sigma+	2	0	0	0	Ca	34704.973509
1448	34728.792935	202	50	25.750000	+	e	X1Sigma+	5	0	0	0	Ca	34728.792935
1449	34732.766004	174	43	19.370000	-	e	X1Sigma+	9	0	0	0	Ca	34732.766004
1450	34760.478487	146	36	13.320000	-	f	A1Pi	0	1	0	1	Ca	34760.478487
1451	34810.810219	146	36	13.320000	+	e	A1Pi	0	1	0	1	Ca	34810.810219
1452	34848.874197	182	45	21.100000	-	e	X1Sigma+	8	0	0	0	Ca	34848.874197
1453	34858.616044	162	40	16.950000	+	e	X1Sigma+	11	0	0	0	Ca	34858.616044
1454	34923.863517	210	52	27.760000	+	e	X1Sigma+	4	0	0	0	Ca	34923.863517
1455	34986.544242	190	47	22.910000	-	e	X1Sigma+	7	0	0	0	Ca	34986.544242
1456	34998.872088	230	57	33.110000	-	e	X1Sigma+	1	0	0	0	Ca	34998.872088
1457	35014.182320	170	42	18.560000	+	e	X1Sigma+	10	0	0	0	Ca	35014.182320
1458	35151.249374	198	49	24.800000	-	e	X1Sigma+	6	0	0	0	Ca	35151.249374
1459	35159.621600	218	54	29.850000	+	e	X1Sigma+	3	0	0	0	Ca	35159.621600
1460	35167.709745	178	44	20.250000	+	e	X1Sigma+	9	0	0	0	Ca	35167.709745
1461	35331.042877	186	46	22.020000	+	e	X1Sigma+	8	0	0	0	Ca	35331.042877
1462	35344.345254	238	59	35.400000	-	e	X1Sigma+	0	0	0	0	Ca	35344.345254
1463	35347.597525	206	51	26.770000	-	e	X1Sigma+	5	0	0	0	Ca	35347.597525
1464	35357.008384	174	43	19.420000	-	e	X1Sigma+	10	0	0	0	Ca	35357.008384
1465	35439.261002	226	56	32.020000	+	e	X1Sigma+	2	0	0	0	Ca	35439.261002
1466	35512.675071	194	48	23.870000	+	e	X1Sigma+	7	0	0	0	Ca	35512.675071
1467	35571.578462	182	45	21.150000	-	e	X1Sigma+	9	0	0	0	Ca	35571.578462
1468	35579.560317	214	53	28.820000	-	e	X1Sigma+	4	0	0	0	Ca	35579.560317
1469	35718.830478	202	50	25.800000	+	e	X1Sigma+	6	0	0	0	Ca	35718.830478
1470	35765.895533	234	58	34.270000	+	e	X1Sigma+	1	0	0	0	Ca	35765.895533
1471	35789.397738	190	47	22.960000	-	e	X1Sigma+	8	0	0	0	Ca	35789.397738
1472	35850.651792	222	55	30.950000	-	e	X1Sigma+	3	0	0	0	Ca	35850.651792
1473	35954.495089	210	52	27.810000	+	e	X1Sigma+	5	0	0	0	Ca	35954.495089
1474	36019.098974	198	49	24.850000	-	e	X1Sigma+	7	0	0	0	Ca	36019.098974
1475	36142.780681	242	60	36.600000	+	e	X1Sigma+	0	0	0	0	Ca	36142.780681
1476	36164.093340	230	57	33.160000	-	e	X1Sigma+	2	0	0	0	Ca	36164.093340
1477	36207.188032	194	48	23.920000	+	e	X1Sigma+	8	0	0	0	Ca	36207.188032
1478	36223.851340	218	54	29.900000	+	e	X1Sigma+	4	0	0	0	Ca	36223.851340
1479	36269.206323	206	51	26.820000	-	e	X1Sigma+	6	0	0	0	Ca	36269.206323
1480	36493.773916	202	50	25.850000	+	e	X1Sigma+	7	0	0	0	Ca	36493.773916
1481	36522.988309	238	59	35.450000	-	e	X1Sigma+	1	0	0	0	Ca	36522.988309
1482	36530.527589	226	56	32.070000	+	e	X1Sigma+	3	0	0	0	Ca	36530.527589
1483	36545.849361	214	53	28.870000	-	e	X1Sigma+	5	0	0	0	Ca	36545.849361
1484	36794.278002	210	52	27.860000	+	e	X1Sigma+	6	0	0	0	Ca	36794.278002
1485	36853.737751	222	55	31.000000	-	e	X1Sigma+	4	0	0	0	Ca	36853.737751
1486	36877.788123	234	58	34.320000	+	e	X1Sigma+	2	0	0	0	Ca	36877.788123
1487	36918.470324	206	51	26.870000	-	e	X1Sigma+	7	0	0	0	Ca	36918.470324
1488	36930.520682	246	61	37.820000	-	e	X1Sigma+	0	0	0	0	Ca	36930.520682
1489	37115.837521	218	54	29.950000	+	e	X1Sigma+	5	0	0	0	Ca	37115.837521
1490	37196.758265	230	57	33.210000	-	e	X1Sigma+	3	0	0	0	Ca	37196.758265
1491	37268.704502	242	60	36.650000	+	e	X1Sigma+	1	0	0	0	Ca	37268.704502
1492	37277.299681	214	53	28.920000	-	e	X1Sigma+	6	0	0	0	Ca	37277.299681
1493	37464.791130	226	56	32.120000	+	e	X1Sigma+	4	0	0	0	Ca	37464.791130
1494	37578.279353	238	59	35.500000	-	e	X1Sigma+	2	0	0	0	Ca	37578.279353
1495	37652.199710	222	55	31.050000	-	e	X1Sigma+	5	0	0	0	Ca	37652.199710
1496	37706.314104	250	62	39.060000	+	e	X1Sigma+	0	0	0	0	Ca	37706.314104
1497	37845.883358	234	58	34.370000	+	e	X1Sigma+	3	0	0	0	Ca	37845.883358
1498	38001.341761	246	61	37.870000	-	e	X1Sigma+	1	0	0	0	Ca	38001.341761
1499	38048.760283	230	57	33.260000	-	e	X1Sigma+	4	0	0	0	Ca	38048.760283
1500	38136.255392	226	56	32.170000	+	e	X1Sigma+	5	0	0	0	Ca	38136.255392
1501	38262.846749	242	60	36.700000	+	e	X1Sigma+	2	0	0	0	Ca	38262.846749
1502	38468.767776	254	63	40.320000	-	e	X1Sigma+	0	0	0	0	Ca	38468.767776
1503	38472.210907	238	59	35.550000	-	e	X1Sigma+	3	0	0	0	Ca	38472.210907
1504	38589.449577	234	58	34.420000	+	e	X1Sigma+	4	0	0	0	Ca	38589.449577
1505	38718.781615	250	62	39.110000	+	e	X1Sigma+	1	0	0	0	Ca	38718.781615
1506	38927.447250	246	61	37.920000	-	e	X1Sigma+	2	0	0	0	Ca	38927.447250
1507	39063.741552	242	60	36.750000	+	e	X1Sigma+	3	0	0	0	Ca	39063.741552
1508	39216.269018	258	64	41.600000	+	e	X1Sigma+	0	0	0	0	Ca	39216.269018
1509	39418.145869	254	63	40.370000	-	e	X1Sigma+	1	0	0	0	Ca	39418.145869
1510	39564.461517	250	62	39.160000	+	e	X1Sigma+	2	0	0	0	Ca	39564.461517
1511	39946.837090	262	65	42.900000	-	e	X1Sigma+	0	0	0	0	Ca	39946.837090
1512	40094.803352	258	64	41.650000	+	e	X1Sigma+	1	0	0	0	Ca	40094.803352
1513	40159.960117	254	63	40.420000	-	e	X1Sigma+	2	0	0	0	Ca	40159.960117
1514	40657.775652	266	66	44.220000	+	e	X1Sigma+	0	0	0	0	Ca	40657.775652
1515	40739.464852	262	65	42.950000	-	e	X1Sigma+	1	0	0	0	Ca	40739.464852
1516	41341.994642	266	66	44.270000	+	e	X1Sigma+	1	0	0	0	Ca	41341.994642
1517	41344.620583	270	67	45.560000	-	e	X1Sigma+	0	0	0	0	Ca	41344.620583
1518	41999.230075	274	68	46.920000	+	e	X1Sigma+	0	0	0	0	Ca	41999.230075
1519	42616.181902	278	69	48.300000	-	e	X1Sigma+	0	0	0	0	Ca	42616.181902
